iter	Passed	Remaining
0	587	58173
1	1232	60387
2	1860	60157
3	2442	58626
4	3051	57986
5	3643	57080
6	4143	55048
7	4636	53322
8	5202	52602
9	5855	52702
10	6493	52541
11	7143	52383
12	7777	52052
13	8342	51246
14	9012	51070
15	9629	50556
16	10230	49949
17	10875	49543
18	11509	49064
19	12317	49271
20	13002	48913
21	13668	48461
22	14326	47963
23	15022	47570
24	15675	47027
25	16355	46549
26	17020	46018
27	17664	45423
28	18263	44713
29	18879	44052
30	19464	43323
31	20076	42661
32	20687	42001
33	21380	41503
34	21932	40732
35	22547	40083
36	23112	39353
37	23736	38727
38	24339	38069
39	24915	37373
40	25542	36756
41	26157	36122
42	26738	35444
43	27285	34727
44	27875	34069
45	28449	33397
46	29045	32753
47	29660	32132
48	30275	31510
49	30921	30921
50	31548	30311
51	32211	29733
52	32812	29097
53	33423	28471
54	34021	27835
55	34647	27223
56	35282	26616
57	35934	26021
58	36588	25425
59	37102	24734
60	37606	24043
61	38249	23443
62	38889	22840
63	39518	22229
64	40108	21597
65	40718	20976
66	41353	20368
67	41959	19745
68	42711	19189
69	43373	18588
70	43974	17961
71	44501	17306
72	45082	16674
73	45705	16058
74	46328	15442
75	46856	14796
76	47462	14177
77	48118	13571
78	48723	12951
79	49313	12328
80	49948	11716
81	50588	11104
82	51172	10481
83	51769	9860
84	52400	9247
85	53066	8638
86	53608	8010
87	54280	7401
88	54872	6782
89	55496	6166
90	56109	5549
91	56693	4929
92	57290	4312
93	57827	3691
94	58506	3079
95	59031	2459
96	59701	1846
97	60310	1230
98	60964	615
99	61600	0
